seller-sku	asin1	price	quantity
10487_DE	B07R8N1NGD	25	43
10488_DE	B07R8N3775	28.61	5
1048_DE	B07N89Q9RG	25	1000000
10490_DE	B07R8R96SM	25.28	5
10491_DE	B07R8R98MP	25	161
10493_DE	B07R8WL328	25	911
10496_DE	B07R8WL8YK	25	26
10497_DE	B07R92FXH7	31.32	15
10498_DE	B07R95P93Q	25	145
10499_DE	B07R95P9G7	25	125
1049_DE	B07N8NRFZB	25	1
104_DE	B000UWCEGG	25	15
10500_DE	B07R9XC4NW	25	53
10501_DE	B07R9XD1N9	25	9
10502_DE	B07VBT4GRS	25	7
10503_DE	B07RB2GHGT	25	24
10504_DE	B07RB2GHGX	33.38	6
10505_DE	B07RB2GHGY	25	12
10506_DE	B07RB2K58T	25	75
10507_DE	B07VCYY429	25	9
10508_DE	B07VCYZ2YG	25	7
10509_DE	B07RB7KQB5	25	19
10510_DE	B07RB7KQB7	25	352
10512_DE	B07VDR98FK	25	36
10513_DE	B07RBBYL5D	25	10
10514_DE	B07RBBYLXD	29.26	6
10515_DE	B07VDYYLZC	25	11
10516_DE	B07RBRWHQ2	25	11
10517_DE	B07RBTVSJB	25	6
10518_DE	B07RC18NTQ	25	22
10519_DE	B07RC18NTS	25	8
10521_DE	B07RC8BH42	25	80
10522_DE	B07RC8C71P	25	667
10523_DE	B07VG2QTGR	25	10
10525_DE	B07VH61NST	25	10
10529_DE	B07RCCJXN8	25	120
10530_DE	B07RCLTTCT	25	114
10531_DE	B07RCLTTD8	25	112
10532_DE	B07RCMPJ1H	25	188
10534_DE	B07RCNCPC5	25	4
10537_DE	B07VR18M6J	25	29
10538_DE	B07RDSMS6G	25	4
10539_DE	B07VVDLW6N	25	100
10541_DE	B07VYHW23B	25	22
10547_DE	B07RV6YX1R	32.66	100
1054_DE	B07NV6CRGM	25	43
10558_DE	B07SHV5G4G	25	4
10559_DE	B07SRHS2FS	455.65	12
10560_DE	B07T2KZMH7	29.6	74
10562_DE	B07X9X1BD8	25	100
10563_DE	B07THZG4H5	246.21	100
10571_DE	B07YFXKZ63	25	355
10586_DE	B07ZG4F698	29.21	100
10595_DE	B07VDPJKW4	25	19
10596_DE	B07VDQDSWQ	25	125
10598_DE	B07VDR8F4T	151.86	5
10599_DE	B07ZJNR8D9	188	10
10601_DE	B07ZNXM695	145.14	12
10602_DE	B07ZNY3GRN	25	29
10607_DE	B07VL3QDXM	71.72	3
10608_DE	B081FJNCSS	25	10
10611_DE	B07VQVD47N	25	30
10612_DE	B081NSKQPX	25	36
10613_DE	B07VS8Y68D	25	130
1062_DE	B07PMCW5DP	202.92	8
10641_DE	B07YNN6KDZ	89.86	14
10645_DE	B07YXF8XJH	28.02	20
10646_DE	B07Z3GSHJL	188.72	15
10659_DE	B07ZJP1D8L	127.23	16
1065_DE	B07QLGM2TH	412.59	33
10662_DE	B07ZNXW3QD	64.06	4
10663_DE	B07ZNXY2RJ	32.38	24
1066_DE	B07QLGM43N	407.53	5
10686_DE	B082QQ29XB	556.71	10
1068_DE	B07QMGR5DN	146.91	90
10696_DE	B085W8GGB4	25	17
10699_DE	B083Z48PH5	41.86	68
1069_DE	B07QMGR5DR	596.9	9
106_DE	B000UWEU4A	25	34
10702_DE	B083ZNNB3W	133.06	78
10706_DE	B0843PSKQZ	169.45	29
10709_DE	B0844N7ZZB	25	3
1070_DE	B07QNF69KV	25	4
10711_DE	B0869DHV22	25	5
10713_DE	B0869DKYK8	25	5
10716_DE	B0871G6MY2	25	4
1071_DE	B07QNF6NXT	25	9
10737_DE	B084L841JM	156.95	3
10738_DE	B084L847ZT	118.13	41
1073_DE	B07QNH2L1B	26.66	10
10746_DE	B08965PQPJ	25	1
10750_DE	B0858V6BW3	25	1
10751_DE	B0858ZSQ3Y	51.65	1
10752_DE	B08592NGBL	84.74	30
10757_DE	B08BYCMDMY	25	60
1075_DE	B07QP9D3SJ	25	15
10768_DE	B08CYVBHG8	36.17	16
10769_DE	B08D1K5QV5	25	20
1076_DE	B07QPJ6LPQ	74.47	10
10770_DE	B08D1ZJQS5	38.55	48
1078_DE	B07QPJ6Y53	89.9	52
10798_DE	B089QMPB9H	80.37	9
10799_DE	B089QMZ4M8	98.9	100
1079_DE	B07QPJ769Q	25	52
107_DE	B000UWEWJI	25	60
10808_DE	B08CCRHYHC	124.09	5
1080_DE	B07QPJ769W	164.91	12
10810_DE	B08CCSL87Y	210.32	18
10811_DE	B08CCSQB2G	161.09	18
10817_DE	B08CSBM4M9	32.57	77
10818_DE	B08CSDBDPG	49.64	208
1081_DE	B07QPJ7GGP	433.01	5
10821_DE	B08K98F5PN	25	5
10824_DE	B08D88RBSQ	93.98	8
10825_DE	B08KKGBVJJ	25	27
10826_DE	B08KS5QNPF	25	27
10827_DE	B08DYD8SHD	196.03	100
1082_DE	B07QQN6SPM	58.12	74
10831_DE	B08FRBSCM3	25.03	243
10832_DE	B08FTGQCDT	54.27	100
10833_DE	B08FTHCWD3	81.24	100
10834_DE	B08G28MDKZ	26.29	35
10835_DE	B08G59MM9R	54.14	100
1083_DE	B07QQN8ZVB	57.35	36
10842_DE	B08HHLMNSJ	134.84	20
10844_DE	B08HJQXWYR	54.27	100
10845_DE	B08HKCD2VQ	78.77	20
1084_DE	B07QQN8ZVY	549.08	5
10857_DE	B08P1ZVGP2	25	36
1085_DE	B07QQN96HY	116.97	55
1086_DE	B07QRRMWRX	122.87	155
1087_DE	B07QRS5F6S	77.8	8
10882_DE	B08S2WNKKW	25	7
1088_DE	B07QRSH9CN	124.38	6
1089_DE	B07QSS9VDK	536.99	5
10907_DE	B08PS874NH	117.77	20
10908_DE	B08S3CT2DG	25	5
10909_DE	B08S3DJ3BL	25	3
1090_DE	B07QSSBLGN	88.99	22
10918_DE	B08S3GB29Q	25	6
1091_DE	B07QSSYFGH	137.23	25
10939_DE	B08S3WXP34	25	20
1093_DE	B07R43P36H	25	5
10942_DE	B08S5RHRHL	25	7
10943_DE	B08S9SHXSL	230.83	100
1094_DE	B07R62Y6V3	25	12
1095_DE	B07R62Y6VH	25	60
10972_DE	B08WZLYB17	40.69	8
10973_DE	B08X1FH61J	25	2
10974_DE	B08XXCGCSK	25	20
10978_DE	B08ZJCKCP7	25	809
1097_DE	B07R75Q2VT	25	11
10982_DE	B08SQM1QK9	25	100
10986_DE	B0924NLXGY	25	92
10987_DE	B0929G27M3	25	1119
10988_DE	B0929JCKGK	25	1327
10989_DE	B092ZVYVP4	25	4
1098_DE	B07R75Q8T9	25	17
10990_DE	B093GVZ3QQ	25	31707
10991_DE	B093GWTJWX	25	16
10992_DE	B093GXNZC1	25	762
10993_DE	B093GYFGNS	35.26	7
10994_DE	B093HDJW4V	25	2
10996_DE	B093HG5R1D	25	24
10997_DE	B093HH2F68	25	6
1099_DE	B07R75Q8TW	25	10
11005_DE	B095CMSVCF	25	16
1100_DE	B07R75Q8TY	25	198
1101_DE	B07R7F55TK	27.17	42
11023_DE	B0913D59YS	43.69	904
11027_DE	B0913G6777	51.27	161
1102_DE	B07R89MZ7V	25	189
11031_DE	B096ZZVWC6	25	160
11034_DE	B09291TQVC	25	1
1103_DE	B07R89NBQJ	25	48
11041_DE	B098KNC7HC	49.47	10
11044_DE	B099537BHW	36.01	10
11045_DE	B09955VZB8	39.64	39
11047_DE	B099ND6PBF	25	1
1104_DE	B07R89NBQY	25	316
1105_DE	B07R8GXDXN	25	42
11064_DE	B095CNGTWN	55.82	7
1106_DE	B07R9G6YJ7	25	7
11070_DE	B09GGCQS82	25	22
11072_DE	B09GKY8CGR	25	20
11078_DE	B09GPSY8ZN	25	4
1107_DE	B07R9GCLRB	25	6
11080_DE	B096B9JZN2	26.67	13
11082_DE	B09GPT84DB	28.65	4
11083_DE	B09GPW4SMZ	65.44	4
11084_DE	B096W3SB9F	25	623
11086_DE	B096Y7DBKT	242.78	20
1108_DE	B07R9GKLMP	25	6
11091_DE	B09HHLGJMP	25	46
11092_DE	B0978R5447	25	100
11096_DE	B09J1KBVMR	46.59	18
1109_DE	B07R9GRL1F	25	334
110_DE	B000UWEXBU	25	8
11103_DE	B09JCCQH9K	25	15
1110_DE	B07R9GVDGD	25	33
11113_DE	B09KNN1XK3	75.13	21
11114_DE	B09KNN294Y	25	23
1111_DE	B07R9GVDGG	25	43
11121_DE	B09CMJS214	510.37	30
11124_DE	B09M4DMS4W	25	100
11134_DE	B09M4Y6WXW	25	100
11145_DE	B09GGCYS1M	26.1	22
11153_DE	B09GPSFQH3	102.61	2
11155_DE	B09GPSZTVH	87.25	4
11158_DE	B09GRSB599	28.75	3
11165_DE	B09HCMLFCQ	31.34	102
11172_DE	B09N7SVT5S	25	5
11174_DE	B09N7SYRW1	36.29	81
11175_DE	B09N7T381K	25	294
11176_DE	B09N7T4YFJ	38.01	52
11180_DE	B09JG6NDSB	45.01	100
11185_DE	B09N7T8RSQ	34.05	39
11186_DE	B09N7TCX95	25	788
11189_DE	B09N7TFL63	32.67	1
11191_DE	B09N7TKJ9D	66.11	26
11193_DE	B09N7TMCF7	25	12
11194_DE	B09N7TNH2C	42.58	68
11197_DE	B09N7TRHTC	74.91	6
11199_DE	B09N7TW3FN	25	22
1119_DE	B07SV54BS6	25	10
111_DE	B000UWGH5A	25	24
11200_DE	B09N7TW4TC	25.62	4
11201_DE	B09N7TWTDV	36.03	19
11202_DE	B09N7TXPSB	25	55
11204_DE	B09N7TY9CY	25	24
11205_DE	B09N7TY9CZ	56.07	8
11207_DE	B09N7TZW39	186.12	5
11208_DE	B09N7V29LF	34.13	102
11209_DE	B09N7V3F8J	25	13
11212_DE	B09N7V6PYZ	47.25	7
11213_DE	B09N7V6VB7	43.74	1
11214_DE	B09N7V76F2	188.92	34
11215_DE	B09N7V7XLK	42.17	19
11218_DE	B09N7VD3BL	53.64	10
11219_DE	B09N7STY5X	88.11	30
1121_DE	B07T35K5F1	25	10
11220_DE	B09N7VDT89	25	28
11221_DE	B09N7VDWZG	35.01	8
11222_DE	B09N7SYSFZ	117.04	22
11223_DE	B09N7VDYS1	25	28
11224_DE	B09N7VFCBZ	25	15
11225_DE	B09N7T5729	196.69	6
11226_DE	B09N7VGMG2	68.26	13
11228_DE	B09N7VGVLR	25	49
1122_DE	B07T49K6KK	25	9
11230_DE	B09N7VK4QP	25	69
11231_DE	B09N7VKFLQ	39.12	21
11232_DE	B09N7VMC2N	25	353
11233_DE	B09N7VNW7R	52.25	43
11234_DE	B09N7VPW1Z	82.27	26
11235_DE	B09N7VQK1M	25	81
11236_DE	B09N7VQSLB	39.07	12
11237_DE	B09N7VRRK2	150.97	7
11238_DE	B09N7TTWBS	133.84	12
11239_DE	B09N7VSHLL	25	104
11240_DE	B09N7VTQJV	25	16
11241_DE	B09N7VWQ1D	25	55
11242_DE	B09N7VXGMX	25	203
11243_DE	B09N7W1574	25	5
11245_DE	B09N7W25KB	69.43	14
11249_DE	B09N7V287L	216.05	7
1124_DE	B07V3LX6ZK	25	368
11251_DE	B09N7V2CMY	45.2	10
11252_DE	B09N7W6J8R	25	118
11253_DE	B09N7W85L6	25	4
11254_DE	B09N7V4BXM	120.49	14
11256_DE	B09N7WB2LS	216.84	2
11257_DE	B09N7WB3KD	25	10
11258_DE	B09N7WBQGG	25	112
11259_DE	B09N7V788S	154.34	6
11260_DE	B09N7WCPY6	25	84
11262_DE	B09N7WFH72	212.34	9
11263_DE	B09N7WFZBK	25	29
11264_DE	B09N7WG5S6	114.2	9
11265_DE	B09N7WHVV2	25	74
11266_DE	B09N7WJD9L	82.76	14
11267_DE	B09N7WJZ6H	25	17
11268_DE	B09N7VG243	167.12	11
11269_DE	B09N7VG6SF	25	122
1126_DE	B07VBM1WFH	136.75	3
11270_DE	B09N7WKM41	25	10
11271_DE	B09N7WL399	25	2
11272_DE	B09N7WMQN9	25	18
11273_DE	B09N7WN8R4	25	20
11274_DE	B09N7WPN29	173.68	16
11275_DE	B09N7VK5VP	37.72	170
11276_DE	B09N7WRMG4	25	13
11277_DE	B09N7WT7DB	25	12
11278_DE	B09N7WT8V2	25	122
1127_DE	B07VBMKKJY	25	12
11280_DE	B09N7VPW21	110.42	1
